date,all,unique
2016-10-07,350767,201213
2016-10-08,344186,200742
2016-10-09,346365,201438
2016-10-10,348561,201756
2016-10-11,349362,202405
2016-10-12,351831,202808
2016-10-13,353921,202886
2016-10-14,354588,203074
2016-10-15,348340,202100
2016-10-16,359756,205046
2016-10-17,353585,203731
2016-10-18,356392,204355
2016-10-19,358935,205788
2016-10-20,359636,206218
2016-11-10,348561,201756
2016-11-11,349362,202405
2016-11-12,351831,202808
2016-11-13,353921,202886
2016-11-14,354588,203074
2016-11-15,348340,202100
2016-11-16,359756,205046
2016-11-17,353585,203731
2016-11-18,356392,204355
2016-11-19,358935,205788
2016-11-20,359636,206218
